,state,abstinence,abortionban_anomaly,abortionban_sex,substance_poli,year,pregnancyratelt15,pregnancyrate1519,pregnancyrate40plus,abortionratelt15,abortionrate1519,abortionrate40plus,birthratelt15,birthrate1519,birthrate40plus,abortionratiolt15,abortionratio1519,abortionratio40plus,pregnancieslt15,pregnancies1519,pregnancies40plus,abortionslt15,abortions1519,abortions40plus,birthslt15,births1519,births40plus,miscarriageslt15,miscarriages1519,miscarriages40plus,populationlt15,population1519,population40plus,population1544,abortionstotal,birthstotal,pregnancyratetotal,birthratetotal,abortionratetotal,abortionratiototal,miscarriagestotal,pregnanciestotal
0,AL,2,0,0,1,1988,21.3,110.5,6.1,8.6,31.4,2.2,9.9,63.3,3.1,866.5,495.6,709.4,610,18000,800,250,5110,290,285,10312,405,80,2570,110,28846,162848,132391,945017,20100,60745,100.5,64.3,21.3,330.9,14160,95000
1,AL,2,0,0,1,1992,23.6,116.4,6.5,8.6,27.2,2.1,11.7,72,3.5,734.1,378.3,596.2,700,17710,990,250,4150,320,347,10960,534,90,2610,140,29578,152215,152130,963462,17720,62260,97.8,64.6,18.4,284.6,14220,94200
2,AL,2,0,0,1,1996,18.5,102.4,6.9,6,19.9,1.8,9.9,67.1,4.1,605.2,296,451.5,580,16490,1150,190,3200,310,311,10807,678,80,2480,170,31436,160943,167319,979413,14940,60488,90.9,61.8,15.3,247,13590,89020
3,AL,2,0,0,1,2000,11.9,89.8,7.2,3.8,15.5,1.6,6.4,60.6,4.5,585.1,255.8,358.5,370,14410,1280,120,2490,290,201,9727,804,50,2190,190,31188,160456,177209,970239,13060,63299,93.1,65.2,13.5,206.3,13970,90320
4,AL,2,0,0,1,2005,8.7,70.8,8.3,2.9,11.9,1.4,4.6,48.1,5.6,625.5,248,259,280,11440,1440,90,1930,250,150,7771,971,40,1750,220,32408,161701,173653,950989,10840,60453,88.8,63.6,11.4,179.3,13170,84470
5,AL,2,0,0,1,2006,9.3,75.3,8.4,2.9,11.9,1.5,5.1,51.8,5.7,566.7,229.9,260.5,300,12400,1440,90,1960,250,163,8537,966,40,1900,220,32100,164708,170861,956058,10980,63232,92,66.1,11.5,173.7,13740,87960
6,AL,2,0,0,1,2007,8.6,74.9,8.3,3.2,11.3,1.3,4.2,52.1,5.7,755.7,217.5,230.5,280,12520,1390,100,1890,220,136,8696,956,40,1930,210,32115,167011,166904,958472,11130,64804,93.9,67.6,11.6,171.7,14070,90010
7,AL,2,0,0,1,2008,9.7,73.1,8.2,3.3,11.3,1.3,5.1,50.5,5.6,641.9,224.6,230.6,300,12380,1330,100,1920,210,160,8559,916,40,1900,200,31534,169375,162815,960680,11020,64546,93.2,67.2,11.5,170.7,14010,89580
8,AL,2,0,0,1,2009,9,69.2,8.6,2.6,10.2,1.4,5.1,48.3,5.9,507.9,211.1,243.7,280,11750,1380,80,1730,230,160,8205,937,40,1810,210,31312,169867,159544,962060,10530,62475,90,64.9,10.9,168.5,13550,86550
9,AL,2,0,0,1,2010,7.4,62.8,9.1,2.8,9.1,1.3,3.6,44,6.3,789.8,207.3,213.6,230,10490,1440,90,1520,210,110,7343,1001,30,1620,220,30943,166861,158649,960716,10030,60050,86.5,62.5,10.4,167.1,13010,83100
