"Table 203.20. Enrollment in public elementary and secondary schools, by region, state, and jurisdiction: Selected years, fall 1990 through fall 2027",,,,,,,,,,,,,,,,,,,,,
"Region, state, and jurisdiction",Actual total enrollment,,,,,,,,,,,,,"Percent change in total enroll-ment, 2010 to 2015",Projected total enrollment,,,,,,"Percent change in total enroll-ment, 2015 to 2027"
,Fall 1990,Fall 2000,Fall 2005,Fall 2006,Fall 2007,Fall 2008,Fall 2009,Fall 2010,Fall 2011,Fall 2012,Fall 2013,Fall 2014,Fall 2015\1\,,Fall 2016,Fall 2017,Fall 2018,Fall 2019,Fall 2020,Fall 2027,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
   United States ...............,"41,216,683","47,203,539","49,113,298","49,315,842","49,290,559","49,265,572","49,360,982","49,484,181","49,521,669","49,771,118","50,044,522","50,312,581","50,438,043",1.9,"50,579,500","50,648,600","50,700,800","50,802,600","50,971,100","52,059,100",3.2
,,,,,,,,,,,,,,,,,,,,,
Region,,,,,,,,,,,,,,,,,,,,,
  Northeast .......................,"7,281,763","8,222,127","8,240,160","8,257,889","8,122,022","8,052,985","8,092,029","8,071,335","7,953,981","7,959,128","7,961,243","7,979,856","7,933,762",-1.7,"7,893,700","7,847,900","7,805,400","7,772,500","7,751,500","7,627,600",-3.9
  Midwest .......................,"9,943,761","10,729,987","10,818,815","10,819,248","10,770,210","10,742,973","10,672,171","10,609,604","10,573,792","10,559,230","10,572,920","10,560,539","10,555,579",-0.5,"10,533,600","10,501,900","10,472,400","10,451,800","10,445,700","10,404,900",-1.4
  South .......................,"14,807,016","17,007,261","18,103,166","18,293,633","18,422,773","18,490,770","18,651,889","18,805,000","18,955,932","19,128,376","19,298,714","19,506,193","19,641,472",4.4,"19,817,300","19,948,000","20,065,300","20,198,800","20,362,500","21,426,400",9.1
  West .......................,"9,184,143","11,244,164","11,951,157","11,945,072","11,975,554","11,978,844","11,944,893","11,998,242","12,037,964","12,124,384","12,211,645","12,265,993","12,307,230",2.6,"12,334,900","12,350,800","12,357,800","12,379,500","12,411,300","12,600,300",2.4
,,,,,,,,,,,,,,,,,,,,,
State,,,,,,,,,,,,,,,,,,,,,
  Alabama .......................,"721,806","739,992","741,761","743,632","742,919","745,668","748,889","755,552","744,621","744,637","746,204","744,164","743,789",-1.6,"739,800","734,900","731,800","731,100","732,000","746,700",0.4
  Alaska .........................,"113,903","133,356","133,288","132,608","131,029","130,662","131,661","132,104","131,167","131,489","130,944","131,176","132,477",0.3,"134,200","135,400","136,500","137,700","139,400","149,700",13.0
  Arizona ......................,"639,853","877,696","1,094,454","1,068,249","1,087,447","1,087,817","1,077,831","1,071,751","1,080,319","1,089,384","1,102,445","1,111,695","1,109,040",3.5,"1,116,300","1,121,700","1,127,400","1,135,400","1,144,700","1,203,400",8.5
  Arkansas ........................,"436,286","449,959","474,206","476,409","479,016","478,965","480,559","482,114","483,114","486,157","489,979","490,917","492,132",2.1,"492,700","492,200","491,700","491,900","492,500","506,800",3.0
  California ......................,"4,950,474","6,140,814","6,437,202","6,406,750","6,343,471","6,322,528","6,263,438","6,289,578","6,287,834","6,299,451","6,312,623","6,312,161","6,305,347",0.3,"6,279,400","6,246,800","6,205,200","6,173,300","6,146,200","5,978,900",-5.2
,, , , , , , ,,,,,,,,,,,,,,
  Colorado .......................,"574,213","724,508","779,826","794,026","801,867","818,443","832,368","843,316","854,265","863,561","876,999","889,006","899,112",6.6,"907,900","915,600","922,000","928,200","934,700","982,800",9.3
  Connecticut .............,"469,123","562,179","575,059","575,100","570,626","567,198","563,968","560,546","554,437","550,954","546,200","542,678","537,933",-4.0,"530,900","523,300","515,800","509,300","503,500","472,100",-12.2
  Delaware .......................,"99,658","114,676","120,937","122,254","122,574","125,430","126,801","129,403","128,946","129,026","131,687","134,042","134,847",4.2,"136,400","137,600","138,400","139,600","140,700","144,100",6.9
  District of Columbia ....,"80,694","68,925","76,876","72,850","78,422","68,681","69,433","71,284","73,911","76,140","78,153","80,958","84,024",17.9,"84,400","87,200","90,000","92,900","95,800","107,600",28.1
  Florida ........................,"1,861,592","2,434,821","2,675,024","2,671,513","2,666,811","2,631,020","2,634,522","2,643,347","2,668,156","2,692,162","2,720,744","2,756,944","2,792,234",5.6,"2,836,700","2,873,400","2,910,200","2,948,200","2,994,000","3,266,700",17.0
,, , , , , , ,,,,,,,,,,,,,,
  Georgia ........................,"1,151,687","1,444,937","1,598,461","1,629,157","1,649,589","1,655,792","1,667,685","1,677,067","1,685,016","1,703,332","1,723,909","1,744,437","1,757,237",4.8,"1,770,700","1,778,800","1,784,900","1,792,100","1,801,800","1,857,800",5.7
  Hawaii ...........................,"171,708","184,360","182,818","180,728","179,897","179,478","180,196","179,601","182,706","184,760","186,825","182,384","181,995",1.3,"183,200","184,200","184,800","186,100","187,000","191,300",5.1
  Idaho ........................,"220,840","245,117","261,982","267,380","272,119","275,051","276,299","275,859","279,873","284,834","296,476","290,885","292,277",6.0,"293,800","295,000","296,400","297,500","298,800","308,900",5.7
  Illinois .........................,"1,821,407","2,048,792","2,111,706","2,118,276","2,112,805","2,119,707","2,104,175","2,091,654","2,083,097","2,072,880","2,066,990","2,050,239","2,041,779",-2.4,"2,036,800","2,027,600","2,017,500","2,009,300","1,999,400","1,899,500",-7.0
  Indiana ..........................,"954,525","989,267","1,035,074","1,045,940","1,046,764","1,046,147","1,046,661","1,047,232","1,040,765","1,041,369","1,047,385","1,046,269","1,046,757",#,"1,045,900","1,041,800","1,038,600","1,034,200","1,034,100","1,051,300",0.4
,, , , , , , ,,,,,,,,,,,,,,
